用户,内容,点赞数,发布时间
KnowYourself,日常生活里，沟通不仅是信息的传递，帮助我们表达和接收别人的需求，也是人际关系管理中的一项重要技能，那么该怎么去清晰、准确地表达自己的原意才能避免被误解？人际沟通技巧的研究机构Mind Tools总结了以下7个“C”，希望这些tips能帮助你学会更好地表达自己~,93,2018-11-17
KnowYourself,"#KY研究转播台# 在生病时会给你煲汤、经期会递上暖宝宝的“暖男”为什么会受欢迎？有时我们会说“爱是陪伴”，爱Ta就要“让Ta感到温暖”，这也是有科学道理的。
认知心理学的一个理论叫“具身认知”（embodied cognition），是说由于大脑的解释机制影响，一个人的生理体验会影响态度、情绪等心理感受。比如说，做出微笑的表情，心里也会真的开心起来；听报告时，主动地上下活动脑袋，做出点头的动作，会倾向于认同和许可的态度。
而这体现在爱情上，就是当你真的在生理上有让你舒服的感觉时，你会对对方也增加心理上的好感。在一项实验中，研究者给不同的被试分发了热的和冷的咖啡，然后让他们对某一个对象进行评价。那些拿着热咖啡的人，更容易觉得评价对象的人际方面是温暖亲和的，而拿到冷咖啡的人反之。
这也能解释为什么异地恋容易让人感到寂寥；如果两个人在生理上待在一起，会影响心理的亲密度。有社会心理学实验表明，上班方向一致的伴侣的幸福感，比方向不一致的伴侣高。实验者调查了数百位美国和香港的已婚上班族，发现上班方向接近的夫妻总体上对婚姻的满意度更高——因为走向同一方向的动作无意识中给了他们心理上“我们在朝一处走”的感觉。
所以，在大雪纷飞的季节，请喜欢的Ta喝杯热奶茶、陪Ta走过一段路，很有可能都会增强对方对你的好感哦[给你小心心]",87,2018-11-16
KnowYourself,"“只要有这个东西就没问题了——世界上没有这样的东西。”（日剧《西瓜》）
#晚安#",85,2018-11-21
KnowYourself,“美”的感受是个标志，它意味着我们邂逅了一种能够体现我们理想中的优质生活的物质表现。——阿兰·德波顿，《幸福的建筑》,85,2018-11-21
KnowYourself,今天也要元气满满呀！😘,83,2018-11-20
KnowYourself,"网购很久货比N家，最后随便选了一个既不是最好也不是最便宜的——你有过“决策疲劳”的体验吗？当你连续地做了太多选择，就会在精神上疲惫不堪，而不愿去权衡利弊，导致决策质量的下降。
其实在决策疲劳的时候，我们的身体是有感知的，它往往会产生异样的或异常强烈的某种感觉——可能是挫折感，强烈的想要放纵（比如说脏话、大吃大喝）的冲动——但我们却不明白那种感觉来自哪里，我们往往意识不到那是一种决策疲劳带来的感觉。
也因为我们自己常常疏于意识，这种“决策疲劳”通常会导致两种决策上的选择：一种是本能的、鲁莽的采取行动。人们很容易在这个时候受到销售人员的蛊惑，进行非理性消费。另一种可能则是避而不作决定，抵制一切涉及改变和有风险的行动。
互联网时代也容易加剧我们的决策疲劳，网购是一个典型的例子。琳琅满目的商品，各种各样的促销套路和极其复杂的优惠规则，让人们看似比起以往线下采购时有了更多选择和比较的机会，实际上却在过大的信息量中耗费了更多的认知资源，让决策疲劳更容易影响我们作出理智的决策。
在刚刚过去的双十一，你有收到“决策疲劳”带来的快递吗[doge]",71,2018-11-20
KnowYourself,大家早安鸭 ❤️,70,2018-11-13
KnowYourself,有哪个瞬间让你认定不想失去那个人？,60,2018-11-19
KnowYourself,"你总是做不好决定吗？总是会纠结很长时间，最后累了就“随便选了”？不如试试让别人来帮你做决定吧~
威斯康辛大学麦迪逊分校的Evan Polman在实验中发现，当你在为他人，而不是为自己做决定时，更少可能会出现决策疲劳，而且更有可能会享受决策的过程。Polman认为，在为他人做选择时，要比为自己做选择更轻松，消耗的精力越少，而且选择的过程更令人开心。他还发现，当人们为他人做决定时，会用更抽象、开放的方式去思考，做出的决策更积极和有创造力。
因此，他认为，觉得做决定很难的人们可以试着把一些事情的决定权交给你的朋友。有趣的是，研究者Polman还发现，让那些特别乐于助人的朋友帮你做选择，未必是个明智的决定，这是因为当这个人过分为他人考虑时，也会容易陷入决策疲劳，致使Ta做不出好的决定。
不过，小的决定可以交给朋友（比如双十一买什么不买什么），人生决定还是只能自己来做哦~(๑•̀ㅂ•́)و✧",56,2018-11-10
KnowYourself,今天来问问大家，你买过的真实给你带来了“幸福感”的一样东西是什么？,54,2018-11-11
KnowYourself,你曾经最费心思准备的一样礼物是什么？,44,2018-11-21
KnowYourself,“我觉得人会感到痛苦并不是因为爱情结束了，而是因为爱情还在继续。”（电影《触不到的恋人》）,35,2018-11-24
KnowYourself,"#KY粉丝提问# 
“我和室友，在玩耍上很合拍，但是我总感觉她在控制我洗脑我。她可以不把她的有些事情告诉我（对此我无所谓），但是她要求我必须把我所有的事情（不管是好的坏的，开心的丢脸的）都要和她分享” 
大家有遇过这样的朋友么？对此，有什么看法吗？
【生活总是充满困扰，但后台君会一直倾听你哦，来私信告诉我你的困惑吧❤️】",29,2018-11-13
KnowYourself,"#KY粉丝提问# 
“男友的朋友们经常拿“妹妹梗”开他的玩笑，我知道男友和他的妹妹并没有什么，但是这样的玩笑多了让我非常不舒服” 
大家有遇到过这类事情么？对此，有什么看法呢？
【生活总是充满困扰，但后台君会一直倾听你哦，来私信告诉我你的困惑吧❤️】",23,2018-11-19
amisher,,0,2018-11-23
amisher,首先书是好书，第一遍看完对Redis有了通体的感受，现在越来越觉得技术的书不能贪多，第二第三遍的感受会更深刻。先花几天总结，然后在重温,0,2018-11-22
amisher,看看今天的环境，起码越来越退步了，,0,2018-11-20
木木,阅读设备的发展方向就是小而轻薄。最小的kindle还是大了一点点，非pro版的手机其实刚刚好，只差一个电子墨水屏～,0,2018-11-20
amisher,,0,2018-11-19
amisher,教育是否还是阶级流动的缝隙？,0,2018-11-19
amisher,身临其境,0,2018-11-18
amisher,前几章实用，后几章看得晕晕乎乎 经常翻翻,0,2018-11-17
amisher,娱乐性可以了、爆米花电影,0,2018-11-11
amisher,没进过官场，只感觉那里面就是电影这样的,0,2018-11-11
